START_ID,END_ID,round,date
0,5617,新三板定增,2016-03-04
1,15080,,2019-01-23
2,5568,A轮,2010-02-01
2,5568,B轮,2011-03-01
2,5568,A轮,2010-02-01
2,5568,B轮,2011-03-01
2,5791,B轮,2014-12-01
2,11679,A轮,2011-07-01
2,5738,A轮,2012-08-01
2,5791,A轮,2012-12-27
3,6056,新三板定增,2017-09-29
4,15084,B轮,2019-06-17
5,7204,,2018-04-01
6,5539,A轮,2010-07-12
6,5539,A轮,2010-07-12
6,11629,A轮,2010-08-26
7,5583,上市定增,2017-10-27
8,11313,,2017-12-01
9,11828,新三板定增,2017-10-27
10,6695,B轮,2019-09-16
11,5355,新三板定增,2019-07-16
11,5355,新三板定增,2019-07-16
12,6249,PRE-A轮,2016-03-15
13,10828,,2018-10-18
14,5604,B轮,2012-11-05
15,12163,IPO轮,2016-06-16
16,5795,A+轮,2018-07-07
17,5549,IPO轮,2017-11-08
18,11025,IPO轮,2017-06-08
19,5423,B+轮,2018-10-08
19,5423,B+轮,2018-06-07
20,11971,A+轮,2017-11-17
21,6716,IPO轮,2016-07-03
21,11702,上市定增,2010-09-14
22,5505,D轮,2010-12-30
22,5505,D轮,2010-12-30
23,5531,新三板定增,2016-11-10
24,14479,IPO轮,2016-06-03
25,6717,A轮,2019-12-02
26,15265,IPO轮,2018-01-18
27,6065,A轮,2017-08-31
27,6065,A轮,2017-08-31
28,5996,天使轮,2017-12-31
29,11393,,2019-09-11
29,11393,A轮,2019-09-11
30,5964,新三板定增,2016-10-19
30,5991,A轮,2016-08-24
30,11765,A轮,2015-12-07
30,15213,新三板定增,2017-07-14
31,10383,A轮,2019-07-11
32,6143,A轮,2016-12-29
32,6143,B轮,2018-07-18
33,11116,A轮,2015-09-09
34,5617,A轮,2013-07-09
35,6693,D轮,2018-05-21
35,6693,B轮,2016-11-30
35,6693,D轮,2018-05-21
36,11673,天使轮,2010-01-18
37,5372,B轮,2019-06-05
37,5372,B轮,2019-06-05
37,5996,A轮,2019-05-22
37,6103,,2019-09-24
37,6103,A轮,2017-12-14
37,5996,A轮,2019-05-22
37,11456,,2019-03-01
